Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
all contacts loaded for imts -existing accounts (214 of them) did not carry all required fields over from erp crm to msd,prospect account contacts came over ok.  the contacts that came over incorrectly came over through elm ,rcbdyslq zuspjbtw,GRP_40,en,contact loaded imts existing account carry required field erp crm msd prospect account came ok incorrectly elm,110,17,5.529411764705882,16,contact loaded imts existing account carry required field erp crm msd prospect account came ok incorrectly elm
job SID_37hotf failed in job_scheduler at: 09/14/2016 17:05:00  ,"received from: monitoring_tool@company.com

job SID_37hotf failed in job_scheduler at: 09/14/2016 17:05:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
login issue,"login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and reset the password.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",ojgxundh aegxpmvd,GRP_0,en,login issue verified user detail employee manager name checked ad reset password advised check caller confirmed able resolved,125,18,6.0,18,login issue verified user detail employee manager name checked ad reset password advised check caller confirmed able resolved
office 2013 for qohfjpna exphkims shows activation required,we needed to reimage the pc of qohfjpna exphkims (palghjmal1) and now the office 2013 (that comes with the company image from deeghyupak raju) is showing that activation is required. also it shows that leslie account is not associated to that office product. she always had ms office. we just needed to reimage the pc. could you please check her account to fix that? ,kbnfxpsy gehxzayq,GRP_26,en,office qohfjpna exphkims show activation required needed reimage pc come company image deeghyupak raju showing also leslie account associated product always m could check fix,174,25,6.0,25,office qohfjpna exphkims show activation required needed reimage pc come company image deeghyupak raju showing also leslie account associated product always m could check fix
remove,"

received from: kaguhxwo.uoyipxqg@gmail.com

hi it,
please help remove rujpckto lhutkpxm on themfg_grp  group. ",kaguhxwo uoyipxqg,GRP_0,en,remove help rujpckto lhutkpxm themfg grp group,46,7,5.714285714285714,7,remove help rujpckto lhutkpxm themfg grp group
error login on to the SID_34 system.,"error login on to the SID_34 system.
-verified user details.(employee# & manager name)
-user has tried the password_management_tool pwd manager.
-unlocked and reset the erp id to""daypay3"".
-caller confirmed that he was able to login.
-issue resolved.",avpeklim eroqjzab,GRP_0,en,error login system verified user detail employee manager name tried password management tool pwd unlocked reset erp id caller confirmed able issue resolved,155,23,5.782608695652174,23,error login system verified user detail employee manager name tried password management tool pwd unlocked reset erp id caller confirmed able issue resolved
need to change password and get it synced on system,need to change password and get it synced on system,tmopbken ibzougsd,GRP_0,en,need change password get synced system,38,6,5.5,6,need change password get synced system
outlook not allowing to open emails in the inbox.,"outlook not allowing to open emails in the inbox.
connected to the user system using teamviewer
-sent a uacyltoe hxgaycze mail to the user from the user mailbox.
-user confirmed he is able to open it.
-advised the user to close and reopen the outllok and check.
-caller confirmed that he is now able to see the emails on outlook.
-issue resolved.",uvrwikmy yusexirn,GRP_0,en,outlook allowing open email inbox connected user system using teamviewer sent uacyltoe hxgaycze mail mailbox confirmed able advised close reopen outllok check caller see issue resolved,184,26,6.115384615384615,26,outlook allowing open email inbox connected user system using teamviewer sent uacyltoe hxgaycze mail mailbox confirmed able advised close reopen outllok check caller see issue resolved
external monitors not detecting with dell 2in 1 tablet,external monitors not detecting with dell 2in 1 tablet,vktxjamz whbdetvp,GRP_0,en,external monitor detecting dell tablet,38,5,6.8,5,external monitor detecting dell tablet
erp SID_34 account locked,erp SID_34 account locked,toeibhlp gukqjwnr,GRP_0,en,erp account locked,18,3,5.333333333333333,3,erp account locked
printer problem / issue information,"please complete all required questions below.  
if not, it will be returned back to the gsc / requester to provide required information

 â€¢  gsc to review ticket, if not able to resolve then please assign to appropriate group per your printer problem assignment flowchart.

   â€¢  printer name / make - model?  (ex hq50 â€“ wy98 - hp 8150) - kd05 (hp color laserjet 4600 pcl6)
 
   â€¢  detailed description of the problem ? when i try to send a document to this printer, it says ""driver update needed"" next to printer name.  when i click ""print,"" it starts to download drivers, and repeats this several times, before displaying error ""windows cannot print due to a problem with the current printer setup.""  i have printed on this printer on my machine before.

   â€¢  type of documents not printing?  (email â€“ excel â€“ wordâ€¦etc) 
      (inwarehouse_tool â€“ delivery note â€“ production orderâ€¦etc) - specifically microsoft word documents, but i have also tried printing emails and excel documents

   â€¢  what system or application being used at time of the problem?      (ex windows / erp /kls) - microsoft word, microsoft excel, microsoft outlook

   â€¢  if not printing at all, does it respond to a ping command on the network and has a power cycle of the printer been completed? - n/a

   â€¢  if erp system, which system?   (ex SID_34 / SID_38 / hrp / plm) - n/a

      â€¢  if it's an erp printer problem can the erp output be rerouted to another erp printer temporarily? - n/a
         what printer can it be rerouted too? - n/a

   â€¢  if document is not printing correctly, please scan copy of the document and attach to the ticketing_tool ticket.",kpogxqvn sfzjbhet,GRP_3,en,printer problem issue information complete required question returned back gsc requester provide • review ticket able resolve assign appropriate group per assignment flowchart name make model ex – hp color laserjet detailed description try send document t say dri haver update needed next click print start download havers repeat several time displaying error window cannot due current setup printed macne type document printing email excel word…etc inwarehouse tool deli havery note production order…etc specifically microsoft word also tried email system application used time erp kls outlook respond ping command network power cycle completed n wch hrp plm output rerouted another temporarily correctly scan copy attach ticketing,732,106,5.915094339622642,103,printer problem issue information complete required question returned back gsc requester provide review ticket able resolve assign appropriate group per assignment flowchart name make model ex hp color laserjet detailed description try send document t say dri haver update needed next click print start download havers repeat several time displaying error window cannot due current setup printed macne type document printing email excel word etc inwarehouse tool deli havery note production order etc specifically microsoft word also tried email system application used time erp kls outlook respond ping command network power cycle completed n wch hrp plm output rerouted another temporarily correctly scan copy attach ticketing
erp SID_39 password reset,erp SID_39 password reset,iehdjwvt rndtlyhv,GRP_0,af,erp password reset,18,3,5.333333333333333,3,erp password reset
printer driver error,"

received from: sdbcpvtx.hzpctsla@gmail.com

good afternoon,

i know it isn't only happening to me but i get this error when i try to print on my normal default printer.  it says it needs a driver installed then i get this box.  when i try to get a screenshot the 'now printing' box pops up.  if i close snipping tool it goes away but pops back up every time i try to use the snipping tool to show you the error.
monday bzxljkoy rvoiqthl was getting the same error.

[cid:image001.png@01d20e90.37f2e370]


",sdbcpvtx hzpctsla,GRP_0,en,printer dri haver error know happening get t try print normal default say need installed box screenshot printing pop close snipping tool go away back every time use show monday bzxljkoy rvoiqthl getting,202,33,5.151515151515151,33,printer dri haver error know happening get t try print normal default say need installed box screenshot printing pop close snipping tool go away back every time use show monday bzxljkoy rvoiqthl getting
pc set up for new employee -mghlisha.baranwfhrty                                  ,setup laptop for new hire:mghlisha.baranwfhrty                                  ,fdmaluyo tvecikxn,GRP_19,en,pc set new employee mghlisha baranwfhrty setup laptop,53,8,5.75,8,pc set new employee mghlisha baranwfhrty setup laptop
wifi issue,wifi is not getting connect,aqourvgz mkehgcdu,GRP_19,en,wifi issue getting connect,26,4,5.75,4,wifi issue getting connect
login issue,"login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and unlocked the account.
-advised the user to login and check.
-caller confirmed that she was able to login.
-issue resolved.",zujpycos pogmachd,GRP_0,en,login issue verified user detail employee manager name checked ad unlocked account advised check caller confirmed able resolved,127,18,6.111111111111111,18,login issue verified user detail employee manager name checked ad unlocked account advised check caller confirmed able resolved
spam email,"from: vmqcyzda kgvrfwcj 
sent: wednesday, september 14, 2016 8:00 pm
to: ron port; nwfodmhc exurcwkm
cc: tjlizqgc ngvwoukp; ytqhfmwi itnakpmc; billghj dhjuyick; lipfnxsy rvjlnpef
subject: amar - fw: summit meeting
importance: high


help desk,
this email is not legit and it looks like it's for the upcoming business practice summit.

best ",vmqcyzda kgvrfwcj,GRP_0,en,spam email,10,2,4.5,2,spam email
 pc set up for new employee ,: pc set up for new employee :krisyuhnyrtkurtyar .kghpanhjuwdian,xabkyoug wdkyiqfx,GRP_19,en,pc set new employee krisyuhnyrtkurtyar kghpanhjuwdian,53,6,8.0,6,pc set new employee krisyuhnyrtkurtyar kghpanhjuwdian
pdf printer,i want  software to print documents to pdf,vwaliogd dviwuzhm,GRP_19,en,pdf printer want software print document,40,6,5.833333333333333,6,pdf printer want software print document
change the old pc,configure the new laptop and remove the old pc,jloygrwh acvztedi,GRP_19,en,change old pc configure new laptop remove,41,7,5.0,7,change old pc configure new laptop remove
frequent account lockout,my account is getting locked frequently. worked with gso many times on the same and still the same. please check from your end. ,akisjtzm uvbmysgc,GRP_2,en,frequent account lockout getting locked frequently worked gso many time still check end,87,13,5.769230769230769,13,frequent account lockout getting locked frequently worked gso many time still check end
mii uacyltoe hxgaycze from lacw8515941  : duration is high for loading  as 60.69 s and refresh loaded 5.11 s   ,mii uacyltoe hxgaycze from lacw8515941  : duration is high for loading  as 39.69 s and refresh loaded 5.11 s   ,rkupnshb gsmzfojw,GRP_14,en,mii uacyltoe hxgaycze duration gh loading refresh loaded,56,8,6.125,8,mii uacyltoe hxgaycze duration gh loading refresh loaded
approved expense report date range error,"ess portal
expense report 3111110041 approved with wrong date range showing 8/6/16 - 9/16/16 and needs to say 8/6/16-8/12/16
need to change dates in order to enter in an expense report for dates ranging 8/22/16-8/25/16",qvtlcbyg lbnjhysc,GRP_10,en,approved expense report date range error es portalexpense wrong showing need say need change date order enter ranging,117,18,5.555555555555555,16,approved expense report date range error es portalexpense wrong showing need say need change date order enter ranging
